"","taxonomy1","taxonomy2","taxonomy3","taxonomy4","taxonomy5","taxonomy6","taxonomy7","taxonomy8"
"ASV_1459","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Setophoma","s__terrestris","ASV_1459"
"ASV_146","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","NA","NA","ASV_146"
"ASV_1460","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Cyberlindnera","s__jadinii","ASV_1460"
"ASV_1462","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","NA","NA","ASV_1462"
"ASV_1463","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","NA","ASV_1463"
"ASV_1465","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenales_fam_Incertae_sedis","g__Chrysosporium","s__undulatum","ASV_1465"
"ASV_1466","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__globispora","ASV_1466"
"ASV_1467","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae","ASV_1467"
"ASV_1468","k__Fungi","p__Basidiomycota","c__Agaricomycetes","NA","NA","NA","NA","ASV_1468"
"ASV_1469","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__elongata","ASV_1469"
"ASV_1470","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__gracilis","ASV_1470"
"ASV_1471","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__cibarius","ASV_1471"
"ASV_1472","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Bulleromyces","s__albus","ASV_1472"
"ASV_1473","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe","s__gulyae","ASV_1473"
"ASV_1478","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii","ASV_1478"
"ASV_1479","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Golovinomyces","NA","ASV_1479"
"ASV_148","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","NA","ASV_148"
"ASV_1480","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__inositophila","ASV_1480"
"ASV_1481","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__dimennae","ASV_1481"
"ASV_1482","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenales_fam_Incertae_sedis","g__Chrysosporium","s__sulfureum","ASV_1482"
"ASV_1483","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","NA","NA","ASV_1483"
"ASV_1489","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Genolevuria","NA","ASV_1489"
"ASV_149","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Claviceps","NA","ASV_149"
"ASV_1490","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Millerozyma","s__farinosa","ASV_1490"
"ASV_1491","k__Fungi","p__Basidiomycota","c__Agaricomycetes","NA","NA","NA","NA","ASV_1491"
"ASV_1493","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__luteola","ASV_1493"
"ASV_1497","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Clonostachys","s__rosea","ASV_1497"
"ASV_1498","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","NA","ASV_1498"
"ASV_15","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","s__cerevisiae","ASV_15"
"ASV_1504","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae","g__Thelebolus","s__globosus","ASV_1504"
"ASV_1506","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Rachicladosporium","s__cboliae","ASV_1506"
"ASV_1507","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__anomalus","ASV_1507"
"ASV_1508","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Xerochrysium","s__xerophilum","ASV_1508"
"ASV_1509","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__babjevae","ASV_1509"
"ASV_151","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__wieringae","ASV_151"
"ASV_1510","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii","ASV_1510"
"ASV_1511","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces","s__roseus","ASV_1511"
"ASV_1512","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__membranifaciens","ASV_1512"
"ASV_1514","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__flavescens","ASV_1514"
"ASV_1515","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Periconiaceae","g__Periconia","NA","ASV_1515"
"ASV_1516","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomyces","NA","ASV_1516"
"ASV_1517","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__oryzae","ASV_1517"
"ASV_1518","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","NA","NA","ASV_1518"
"ASV_152","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","s__humilis","ASV_152"
"ASV_1524","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__luteola","ASV_1524"
"ASV_1525","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__araucariae","ASV_1525"
"ASV_1527","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__anomalus","ASV_1527"
"ASV_1528","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","NA","ASV_1528"
"ASV_1529","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiales_fam_Incertae_sedis","g__Mrakiella","s__aquatica","ASV_1529"
"ASV_153","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Udeniomyces","s__kanasensis","ASV_153"
"ASV_1531","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","NA","NA","NA","NA","ASV_1531"
"ASV_1535","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","NA","ASV_1535"
"ASV_1538","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__solani","ASV_1538"
"ASV_1539","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__albida","ASV_1539"
"ASV_1541","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__nigrum","ASV_1541"
"ASV_1543","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__babjevae","ASV_1543"
"ASV_1545","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Mycosphaerella","s__tassiana","ASV_1545"
"ASV_1547","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","s__unispora","ASV_1547"
"ASV_155","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","s__cerevisiae","ASV_155"
"ASV_1550","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Xeromyces","s__bisporus","ASV_1550"
"ASV_1556","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","NA","ASV_1556"
"ASV_1557","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Nakaseomyces","NA","ASV_1557"
"ASV_1558","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__kluyveri","ASV_1558"
"ASV_156","k__Fungi","p__Basidiomycota","c__Wallemiomycetes","o__Wallemiales","f__Wallemiaceae","g__Wallemia","s__sebi","ASV_156"
"ASV_1560","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__babjevae","ASV_1560"
"ASV_1561","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Cyberlindnera","s__jadinii","ASV_1561"
"ASV_1562","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__sydowii","ASV_1562"
"ASV_1565","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__penicillioides","ASV_1565"
"ASV_1567","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Naohideales","f__Naohideaceae","g__Naohidea","s__sebacea","ASV_1567"
"ASV_1569","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neostagonospora","s__caricis","ASV_1569"
"ASV_157","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__kluyveri","ASV_157"
"ASV_1570","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__wieringae","ASV_1570"
"ASV_1572","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","NA","ASV_1572"
"ASV_1573","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Bulleribasidium","s__oberjochense","ASV_1573"
"ASV_1578","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Apiotrichum","s__gracile","ASV_1578"
"ASV_1579","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Phaeotremellaceae","NA","NA","ASV_1579"
"ASV_158","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii","ASV_158"
"ASV_1580","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__aurea","ASV_1580"
"ASV_1581","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Gyoerffyella","s__entomobryoides","ASV_1581"
"ASV_1582","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__solani","ASV_1582"
"ASV_1585","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__tormentillae","ASV_1585"
"ASV_1586","k__Fungi","p__Basidiomycota","c__Wallemiomycetes","o__Wallemiales","f__Wallemiaceae","g__Wallemia","NA","ASV_1586"
"ASV_1587","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__frias","ASV_1587"
"ASV_1588","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__membranifaciens","ASV_1588"
"ASV_1589","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","NA","NA","ASV_1589"
"ASV_159","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__circinelloides","ASV_159"
"ASV_1590","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Udeniomyces","s__pyricola","ASV_1590"
"ASV_1594","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__carpini","ASV_1594"
"ASV_1595","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","NA","NA","NA","ASV_1595"
"ASV_1596","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__sake","ASV_1596"
"ASV_1597","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Itersonilia","s__pannonica","ASV_1597"
"ASV_1599","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales","f__Leucosporidiaceae","g__Leucosporidium","NA","ASV_1599"
"ASV_16","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__membranifaciens","ASV_16"
"ASV_160","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae","ASV_160"
"ASV_1600","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","s__unispora","ASV_1600"
"ASV_1601","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__macerans","ASV_1601"
"ASV_1604","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria","NA","ASV_1604"
"ASV_1606","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Genolevuria","s__amylolytica","ASV_1606"
"ASV_1607","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__tropicalis","ASV_1607"
"ASV_1609","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Holtermanniales","f__Holtermanniales_fam_Incertae_sedis","g__Holtermanniella","s__wattica","ASV_1609"
"ASV_161","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","NA","NA","ASV_161"
"ASV_1611","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__wieringae","ASV_1611"
"ASV_1612","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Trichomonascus","s__ciferrii","ASV_1612"
"ASV_1613","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__podocarpi","ASV_1613"
"ASV_1615","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Zymoseptoria","s__verkleyi","ASV_1615"
"ASV_1616","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Issatchenkia","s__orientalis","ASV_1616"
"ASV_1618","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Dematiopleospora","s__rosicola","ASV_1618"
"ASV_1619","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","NA","ASV_1619"
"ASV_162","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Chalastospora","s__gossypii","ASV_162"
"ASV_1620","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Articulospora","s__proliferata","ASV_1620"
"ASV_1621","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","s__cerevisiae","ASV_1621"
"ASV_1622","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","NA","NA","ASV_1622"
"ASV_1623","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Xeromyces","s__bisporus","ASV_1623"
"ASV_1625","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","NA","ASV_1625"
"ASV_1626","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__wieringae","ASV_1626"
"ASV_1627","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Phomopsis","s__vaccinii","ASV_1627"
"ASV_1628","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","NA","NA","NA","ASV_1628"
"ASV_1629","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Parastagonospora","NA","ASV_1629"
"ASV_163","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Mycosphaerella","s__tassiana","ASV_163"
"ASV_1631","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__cibarius","ASV_1631"
"ASV_1632","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","NA","ASV_1632"
"ASV_1633","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Exserohilum","s__rostratum","ASV_1633"
"ASV_1635","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__coprosmae","ASV_1635"
"ASV_1636","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__nigrum","ASV_1636"
"ASV_1638","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium","NA","ASV_1638"
"ASV_1639","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__babjevae","ASV_1639"
"ASV_164","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Apiosporaceae","NA","NA","ASV_164"
"ASV_1640","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","NA","NA","NA","ASV_1640"
"ASV_1641","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__diffluens","ASV_1641"
"ASV_1646","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","NA","ASV_1646"
"ASV_1647","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__persicinum","ASV_1647"
"ASV_165","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","s__cerevisiae","ASV_165"
"ASV_1650","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Trichomonascus","s__ciferrii","ASV_1650"
"ASV_1651","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__anomalus","ASV_1651"
"ASV_1652","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__diffluens","ASV_1652"
"ASV_1653","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Neocamarosporium","NA","ASV_1653"
"ASV_1655","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella","s__poagena","ASV_1655"
"ASV_1656","k__Fungi","p__Basidiomycota","c__Agaricomycetes","NA","NA","NA","NA","ASV_1656"
"ASV_1657","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Parastagonospora","s__avenae","ASV_1657"
"ASV_166","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","NA","NA","ASV_166"
"ASV_1662","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Thanatephorus","s__cucumeris","ASV_1662"
"ASV_1665","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","s__cerevisiae","ASV_1665"
"ASV_1666","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii","ASV_1666"
"ASV_1667","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__globispora","ASV_1667"
"ASV_1668","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__sinensis","ASV_1668"
"ASV_167","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","NA","ASV_167"
"ASV_1670","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","NA","ASV_1670"
"ASV_1672","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Tausonia","s__pullulans","ASV_1672"
"ASV_1676","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascodesmidaceae","g__Cephaliophora","s__tropica","ASV_1676"
"ASV_168","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__tropicalis","ASV_168"
"ASV_1680","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__sydowii","ASV_1680"
"ASV_1681","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Itersonilia","s__pannonica","ASV_1681"
"ASV_1682","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__babjevae","ASV_1682"
"ASV_1683","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","NA","ASV_1683"
"ASV_1687","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__albida","ASV_1687"
"ASV_1688","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae","ASV_1688"
"ASV_169","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Mycosphaerella","s__tassiana","ASV_169"
"ASV_1690","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Psilocybe","s__inquilina","ASV_1690"
"ASV_1691","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","s__implicatum","ASV_1691"
"ASV_1692","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__glaebosa","ASV_1692"
"ASV_1693","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella","s__quadriseptata","ASV_1693"
"ASV_1694","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Thermomyces","s__lanuginosus","ASV_1694"
"ASV_1695","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__norvegensis","ASV_1695"
"ASV_1698","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__coprosmae","ASV_1698"
"ASV_1699","k__Fungi","p__Basidiomycota","c__Agaricomycetes","NA","NA","NA","NA","ASV_1699"
"ASV_17","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","s__servazzii","ASV_17"
"ASV_170","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__mandshurica","ASV_170"
"ASV_1700","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","s__oryzae","ASV_1700"
"ASV_1701","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__hungarica","ASV_1701"
"ASV_1704","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__dimennae","ASV_1704"
"ASV_1705","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__anomalus","ASV_1705"
"ASV_171","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","s__servazzii","ASV_171"
